"number","street","price","bed","bath","year_built","cooling","lot","heating_other","heating_gas","heating_forced_air","heating_heat_pump","heating_electric","parking_carport","parking_covered","parking_garage_attached","parking_off_street","parking_garage","parking_garage_detached","parking_on_street"
"1","Learned",1520000,3,4,1972,"central",0.97,"yes","yes","no","no","no","no","no","no","no","no","no","no"
"1616","Pinecrest",1030000,5,4,1969,"central",1.38,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"2418","Wrightwood",420000,2,3,1959,"central",0.51,"no","yes","yes","no","no","no","yes","yes","no","no","no","no"
"2527","Sevier",680000,4,3,1961,"central",0.84,"yes","yes","no","yes","yes","yes","yes","no","no","no","no","no"
"2218","Myers",428500,4,3,2020,"central",0.16,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2619","Vesson",456000,3,3,2014,"central",0.45,"no","yes","yes","no","yes","no","yes","no","yes","no","no","no"
"1803","Woodburn",1270000,5,5,1968,"central",0.94,"no","yes","yes","no","no","yes","yes","yes","no","no","no","no"
"19","Learned",557450,4,3,1973,"central",0.79,"no","yes","no","yes","no","yes","yes","no","no","no","no","no"
"2827","Mcdowell",697500,4,5,1972,"central",0.53,"yes","yes","no","no","yes","no","yes","no","no","no","no","no"
"2709","Mcdowell",650000,3,2,1964,"other",0.73,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"2819","Mcdowell",540000,4,3,1977,"central",0.58,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"2743","Sevier",546000,4,3,1962,"other",0.52,"no","no","no","yes","yes","no","yes","yes","no","no","no","no"
"2750","Mcdowell",671500,3,3,1964,"central",0.51,"yes","yes","no","no","yes","yes","yes","no","no","no","no","no"
"1723","Tisdale",580000,5,4,1981,"central",0.45,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"15","Upchurch",631500,4,4,1985,"central",0.45,"no","yes","yes","yes","yes","no","yes","no","no","no","no","no"
"2906","Montgomery",610000,5,4,1983,"central",0.48,"no","no","yes","no","yes","no","yes","yes","no","no","no","no"
"2228","Cranford",452500,3,2.5,1941,"other",0.61,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2251","Cranford",9e+05,4,4,1945,"central",0.63,"no","yes","yes","no","yes","no","yes","no","no","yes","yes","no"
"2409","Wrightwood",785000,4,3,1960,"central",0.41,"yes","yes","no","no","no","no","yes","yes","no","no","no","no"
"1001","Norwood",290000,3,2.5,1956,"other",0.48,"yes","no","no","no","no","no","no","no","no","no","no","no"
"1601","Anderson",270000,3,3,1990,"other",0.36,"no","no","no","no","no","no","no","no","no","no","no","no"
"2612","Mcdowell",645000,4,4,1969,"central",0.47,"yes","yes","no","no","no","no","yes","yes","no","no","no","yes"
"2809","Mcdowell",525000,3,2,1978,"central",0.54,"no","yes","yes","yes","no","no","yes","yes","no","no","no","no"
"1804","Woodburn",652000,4,2,1968,"central",0.69,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"4","Womble",689000,4,3,1984,"central",0.43,"no","no","yes","yes","yes","no","yes","yes","no","yes","no","no"
"2727","Spencer",603000,4,4,1965,"central",0.61,"yes","yes","no","no","no","no","yes","yes","no","no","no","no"
"2413","Perkins",385000,3,2,1951,"central",0.29,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"1020","Norwood",342500,3,2,1960,"central",0.27,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"1017","Anderson",305000,4,3,1955,"central",0.28,"no","yes","yes","no","no","no","no","no","yes","no","no","no"
"2429","Wrightwood",801000,4,2.5,1959,"other",0.69,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2732","Dogwood",462000,4,3,1956,"central",0.63,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"2300","Elmwood",475000,4,3,1988,"other",0.76,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2630","Pickett",265000,3,2,1938,"central",0.42,"yes","yes","no","no","no","no","no","no","yes","yes","yes","no"
"1118","Woodburn",415000,4,3,1955,"central",0.56,"no","yes","yes","no","yes","yes","yes","yes","no","no","no","no"
"2510","Wrightwood",6e+05,4,3,1953,"central",0.59,"no","yes","yes","no","no","no","yes","no","yes","no","no","no"
"4","Learned",1250000,6,5,2009,"central",0.62,"no","yes","yes","no","no","no","yes","yes","no","no","no","no"
"2742","Circle",615000,3,3,1954,"other",0.63,"no","no","no","yes","yes","no","no","no","no","no","no","no"
"2722","Mcdowell",481000,4,3,1961,"other",0.5,"yes","no","yes","no","no","no","no","no","no","no","no","no"
"1114","Woodburn",465000,4,3,1957,"other",0.61,"no","no","yes","yes","yes","no","no","yes","no","no","no","no"
"2719","Montgomery",535000,3,2,1969,"central",0.59,"no","yes","yes","yes","no","yes","yes","no","no","yes","no","no"
"2409","Perkins",368000,3,2,1957,"central",0.29,"no","yes","no","yes","yes","no","no","no","no","no","no","no"
"1129","Anderson",535000,3,3,1957,"other",0.57,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2714","Mcdowell",425000,3,3,1960,"central",0.55,"yes","yes","no","no","yes","no","no","no","no","no","no","no"
"25","Scott",705000,4,2.5,1969,"other",0.76,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2209","Pike",155000,4,2,1957,"other",0.17,"no","no","yes","no","no","no","no","no","no","no","no","no"
"1409","Pinecrest",812000,4,4,1989,"central",0.55,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2703","Montgomery",915000,5,6,1966,"other",0.6,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"147","Pinecrest",6e+05,3,2.5,1934,"other",0.69,"yes","no","no","no","no","no","no","no","no","yes","no","no"
"1123","Woodburn",416000,5,3,1955,"other",0.55,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2528","Wrightwood",525000,4,3,1958,"other",0.61,"no","yes","yes","no","yes","no","no","yes","no","no","no","no"
"2753","Mcdowell",339000,3,2,1962,"other",1.1,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2502","Sevier",725000,4,5,1961,"other",0.63,"yes","yes","no","no","no","no","no","no","no","no","no","no"
"1121","Anderson",863000,4,4,1952,"central",0.65,"no","yes","yes","no","yes","no","yes","no","yes","no","yes","no"
"2522","Chapel",199500,3,1,1952,"other",0.15,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2","Scott",521000,4,2,1970,"central",0.65,"no","yes","yes","no","no","no","no","yes","no","no","no","no"
"2111","Lafayette",150000,3,1,1945,"other",0.16,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2745","Mcdowell",577000,4,3,1965,"other",0.73,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"1101","Norwood",4e+05,4,3,1958,"central",0.52,"yes","yes","no","no","no","no","yes","yes","no","no","no","no"
"2","Brower",579000,3,3,1984,"other",0.54,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2736","Mcdowell",450000,3,2,1960,"central",0.51,"no","yes","yes","no","no","no","yes","yes","no","no","yes","no"
"1106","Anderson",580000,4,2,1954,"other",0.38,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"2543","Sevier",392000,2,2,1961,"other",0.48,"no","no","yes","no","yes","yes","yes","no","no","yes","no","no"
"2330","Auburn",559000,3,4,2017,"other",0.3,"yes","yes","no","no","yes","no","no","no","no","no","no","no"
"2832","Mcdowell",95000,4,4.5,1970,"other",0.63,"yes","no","no","no","no","no","no","no","no","no","no","no"
"1609","W",609000,5,4,2016,"other",0.47,"no","yes","no","yes","no","no","no","yes","no","no","no","no"
"2801","Dogwood",565000,4,3,1954,"central",0.53,"no","yes","yes","no","no","no","yes","yes","no","no","no","no"
"2703","Sevier",475000,3,2,1961,"other",0.94,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"2618","Pickett",412500,3,2,1941,"other",0.54,"yes","yes","no","no","yes","no","yes","no","no","yes","yes","no"
"1904","Shelton",105000,2,1,1940,"other",0.26,"yes","no","no","no","no","no","no","no","no","yes","no","no"
"1847","Woodburn",520000,4,3,1968,"other",0.65,"yes","yes","no","no","no","no","no","yes","no","no","no","no"
"2813","Montgomery",540000,3,3,1983,"central",0.39,"no","yes","yes","yes","yes","yes","yes","yes","no","no","no","no"
"2818","Mcdowell",650000,4,3,1972,"other",0.56,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"2749","Dogwood",592000,3,2,1960,"other",0.75,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2510","Chapel",285000,4,2.5,1923,"other",0.7,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2723","Circle",640000,4,4,1954,"other",0.46,"no","yes","yes","no","no","no","yes","no","no","no","no","no"
"2535","Wrightwood",552500,5,3,1958,"other",0.54,"yes","yes","no","no","yes","no","no","yes","no","no","no","no"
"2401","Perkins",550000,3,3,1953,"central",0.61,"no","yes","yes","no","no","no","yes","yes","no","no","no","no"
"1103","Anderson",525000,3,3,2016,"other",0.24,"no","yes","no","yes","no","no","yes","no","no","no","no","no"
"2521","Perkins",750000,5,5,1951,"other",0.79,"no","no","yes","yes","yes","no","no","no","no","no","no","no"
"1817","Woodburn",1020000,4,4,1969,"other",0.95,"no","yes","yes","no","no","no","no","yes","no","no","no","no"
"19","Heath",610000,4,4,1969,"central",0.76,"no","yes","no","yes","no","no","no","yes","no","no","no","no"
"2733","Spencer",360000,4,3,1970,"central",0.6,"no","yes","yes","no","no","no","yes","no","yes","yes","yes","yes"
"2301","Elmwood",4e+05,4,3,1962,"other",0.36,"no","yes","yes","no","no","no","no","yes","no","no","no","no"
"12","Upchurch",567000,4,4,1982,"other",0.39,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"1109","Woodburn",485000,4,3,1962,"other",0.52,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2749","Mcdowell",517000,4,3,1965,"other",0.73,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2628","Mcdowell",540000,4,3,1970,"other",0.48,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2819","Montgomery",480000,2,2,1984,"other",0.42,"no","yes","no","yes","yes","yes","yes","no","no","no","no","no"
"2604","Sevier",650000,4,3,1963,"other",0.68,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"2808","Montgomery",535000,4,4,1983,"central",0.45,"no","yes","yes","no","yes","no","yes","no","yes","yes","yes","no"
"1640","Marion",460000,5,4,1961,"other",0.5,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"4","Harvey",590000,5,3,1980,"other",0.43,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2507","Sevier",541000,4,4,1960,"central",0.51,"no","yes","yes","yes","no","yes","yes","no","no","no","no","no"
"1207","Woodburn",473000,3,3,1955,"other",0.61,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"3008","Montgomery",490000,4,4,1984,"central",0.65,"no","yes","yes","no","yes","no","yes","yes","yes","no","no","no"
"1614","Pinecrest",815000,4,4,1970,"other",1.47,"no","yes","yes","no","no","no","yes","yes","no","no","yes","no"
"2708","Circle",674500,4,4,1955,"other",0.73,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
